Probe Name;20240604_30103010090426-01_Sample01_01.RCC;20240604_30103010090426-01_Sample02_02.RCC;20240604_30103010090426-01_Sample04_04.RCC;20240604_30103010090426-01_Sample06_06.RCC;20240604_30103010090426-01_Sample07_07.RCC;20240604_30103010090426-01_Sample08_08.RCC;20240604_30103010090426-01_Sample09_09.RCC;20240604_30103010090426-01_Sample10_10.RCC;20240604_30103010090426-01_Sample11_11.RCC;20240604_30103010090426-01_Sample12_12.RCC
hsa-miR-1287-3p;22;20;22;17;28;21;28;14;13;17
hsa-miR-1287-5p;34;47;41;29;36;39;44;36;34;32
hsa-miR-1288-3p;38;64;43;52;49;52;35;34;24;37
hsa-miR-1289;21;33;31;35;30;31;28;35;19;24
hsa-miR-129-2-3p;23;23;36;16;15;24;22;19;18;20
hsa-miR-129-5p;26;16;12;20;22;17;16;15;13;14
hsa-miR-1290;31;42;41;39;44;32;35;34;55;73
hsa-miR-1291;21;30;24;21;26;35;25;17;22;18
hsa-miR-1293;22;28;28;27;36;26;36;30;23;22
hsa-miR-1295a;58;43;63;48;53;39;42;45;38;43
hsa-miR-1296-3p;48;27;43;27;37;25;36;40;29;30
hsa-miR-1296-5p;11;26;30;18;20;23;17;18;11;10
hsa-miR-1297;48;58;55;53;56;53;48;62;33;39
hsa-miR-1298-5p;27;22;21;25;28;39;21;18;19;25
hsa-miR-1299;50;133;50;88;56;72;86;78;83;77
hsa-miR-1301-3p;14;18;23;13;17;17;19;13;14;12
hsa-miR-1302;23;31;26;30;30;28;21;24;22;16
hsa-miR-1303;14;18;11;11;25;12;16;12;10;8
hsa-miR-1304-3p;17;34;24;19;33;30;35;30;19;15
hsa-miR-1304-5p;30;28;35;26;21;15;26;32;16;20
hsa-miR-1305;43;51;31;175;44;38;55;62;27;50
hsa-miR-1306-3p;31;33;31;29;35;35;28;31;20;33
hsa-miR-1306-5p;24;36;16;27;22;30;23;25;21;27
hsa-miR-1307-3p;48;30;49;20;35;51;43;33;18;32
